chrom	start	end	strand	trid	geneid
chr4	140563110	140563211	-	stmg_minus_chr4.18.1	stmg_minus_chr4.18
chr4	140563318	140563518	-	stmg_minus_chr4.18.1	stmg_minus_chr4.18
chr4	140567779	140567977	-	stmg_minus_chr4.18.1	stmg_minus_chr4.18
chr4	140568604	140568758	-	stmg_minus_chr4.18.1	stmg_minus_chr4.18
chr4	147609629	147609961	-	stmg_minus_chr4.19.1	stmg_minus_chr4.19
chr4	147617088	147617231	-	stmg_minus_chr4.19.1	stmg_minus_chr4.19
chr4	151333948	151333989	-	stmg_minus_chr4.20.1	stmg_minus_chr4.20
chr4	151352900	151353221	-	stmg_minus_chr4.20.1	stmg_minus_chr4.20
chr4	151407553	151407707	-	stmg_minus_chr4.21.1	stmg_minus_chr4.21
chr4	151408635	151408834	-	stmg_minus_chr4.21.1	stmg_minus_chr4.21
chr4	152551279	152551999	-	stmg_minus_chr4.22.1	stmg_minus_chr4.22
chr4	155924118	155926070	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	155928336	155928428	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	155929542	155929705	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	155937362	155937483	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	155939371	155939538	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	155942317	155942456	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	155943156	155943264	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	155953713	155953915	-	stmg_minus_chr4.23.1	stmg_minus_chr4.23
chr4	183494995	183495067	-	stmg_minus_chr4.24.1	stmg_minus_chr4.24
chr4	183497560	183497669	-	stmg_minus_chr4.24.1	stmg_minus_chr4.24
chr4	183504176	183504470	-	stmg_minus_chr4.24.1	stmg_minus_chr4.24
chr5	92168	92276	+	stmg_plus_chr5.1.1	stmg_plus_chr5.1
chr5	113251	113448	+	stmg_plus_chr5.1.1	stmg_plus_chr5.1
chr5	139483	139862	+	stmg_plus_chr5.1.1	stmg_plus_chr5.1
chr5	10479396	10479417	+	stmg_plus_chr5.2.1	stmg_plus_chr5.2
chr5	10481874	10482307	+	stmg_plus_chr5.2.1	stmg_plus_chr5.2
chr5	56059051	56059096	+	stmg_plus_chr5.3.1	stmg_plus_chr5.3
chr5	56067036	56067372	+	stmg_plus_chr5.3.1	stmg_plus_chr5.3
chr5	73451508	73452105	+	stmg_plus_chr5.4.1	stmg_plus_chr5.4
chr5	73453224	73453312	+	stmg_plus_chr5.4.1	stmg_plus_chr5.4
chr5	132073799	132073982	+	stmg_plus_chr5.5.1	stmg_plus_chr5.5
chr5	132074081	132074122	+	stmg_plus_chr5.5.1	stmg_plus_chr5.5
chr5	132074810	132074935	+	stmg_plus_chr5.5.1	stmg_plus_chr5.5
chr5	132075745	132076170	+	stmg_plus_chr5.5.1	stmg_plus_chr5.5
chr5	134506558	134506834	+	stmg_plus_chr5.6.1	stmg_plus_chr5.6
chr5	134508406	134509228	+	stmg_plus_chr5.6.1	stmg_plus_chr5.6
chr5	135812675	135812911	+	stmg_plus_chr5.7.1	stmg_plus_chr5.7
chr5	138465490	138466068	+	stmg_plus_chr5.8.1	stmg_plus_chr5.8
chr5	138466757	138469315	+	stmg_plus_chr5.8.1	stmg_plus_chr5.8
chr5	142745602	142745718	+	stmg_plus_chr5.9.1	stmg_plus_chr5.9
chr5	142756734	142756830	+	stmg_plus_chr5.9.1	stmg_plus_chr5.9
chr5	142757827	142757934	+	stmg_plus_chr5.9.1	stmg_plus_chr5.9
chr5	142759086	142760994	+	stmg_plus_chr5.9.1	stmg_plus_chr5.9
chr5	148238571	148238646	+	stmg_plus_chr5.10.1	stmg_plus_chr5.10
chr5	148242446	148242594	+	stmg_plus_chr5.10.1	stmg_plus_chr5.10
chr5	150777949	150778972	+	stmg_plus_chr5.11.1	stmg_plus_chr5.11
chr5	150795430	150796734	+	stmg_plus_chr5.11.1	stmg_plus_chr5.11
chr5	171309287	171309786	+	stmg_plus_chr5.12.1	stmg_plus_chr5.12
chr5	171310150	171310393	+	stmg_plus_chr5.12.1	stmg_plus_chr5.12
chr5	171311389	171312134	+	stmg_plus_chr5.12.1	stmg_plus_chr5.12
chr5	173562481	173562563	+	stmg_plus_chr5.13.1	stmg_plus_chr5.13
chr5	173563495	173563544	+	stmg_plus_chr5.13.1	stmg_plus_chr5.13
chr5	173572881	173573193	+	stmg_plus_chr5.13.1	stmg_plus_chr5.13
chr5	173642519	173642657	+	stmg_plus_chr5.14.1	stmg_plus_chr5.14
chr5	173657840	173658127	+	stmg_plus_chr5.14.1	stmg_plus_chr5.14
chr5	173689469	173689553	+	stmg_plus_chr5.15.1	stmg_plus_chr5.15
chr5	173701529	173701686	+	stmg_plus_chr5.15.1	stmg_plus_chr5.15
chr5	173705590	173705847	+	stmg_plus_chr5.15.1	stmg_plus_chr5.15
chr5	178113461	178113771	+	stmg_plus_chr5.16.1	stmg_plus_chr5.16
chr5	178119554	178119913	+	stmg_plus_chr5.16.1	stmg_plus_chr5.16
chr5	178120178	178120699	+	stmg_plus_chr5.16.1	stmg_plus_chr5.16
chr5	178121098	178121352	+	stmg_plus_chr5.16.1	stmg_plus_chr5.16
chr5	178121474	178126085	+	stmg_plus_chr5.16.1	stmg_plus_chr5.16
chr5	180293246	180293418	+	stmg_plus_chr5.17.1	stmg_plus_chr5.17
chr5	180295035	180295253	+	stmg_plus_chr5.17.1	stmg_plus_chr5.17
chr5	180441644	180441855	+	stmg_plus_chr5.18.1	stmg_plus_chr5.18
chr5	180442730	180443238	+	stmg_plus_chr5.18.1	stmg_plus_chr5.18
chr5	181281375	181281612	+	stmg_plus_chr5.19.1	stmg_plus_chr5.19
chr5	181283342	181283652	+	stmg_plus_chr5.19.1	stmg_plus_chr5.19
chr5	269862	270207	-	stmg_minus_chr5.1.1	stmg_minus_chr5.1
chr5	271345	271506	-	stmg_minus_chr5.1.1	stmg_minus_chr5.1
chr5	10775092	10775300	-	stmg_minus_chr5.2.1	stmg_minus_chr5.2
chr5	10776964	10777037	-	stmg_minus_chr5.2.1	stmg_minus_chr5.2
chr5	12553941	12554038	-	stmg_minus_chr5.3.1	stmg_minus_chr5.3
chr5	12571816	12571904	-	stmg_minus_chr5.3.1	stmg_minus_chr5.3
chr5	12574504	12574636	-	stmg_minus_chr5.3.1	stmg_minus_chr5.3
chr5	16451519	16451784	-	stmg_minus_chr5.4.1	stmg_minus_chr5.4
chr5	16453013	16453156	-	stmg_minus_chr5.4.1	stmg_minus_chr5.4
chr5	16458517	16458629	-	stmg_minus_chr5.4.1	stmg_minus_chr5.4
chr5	16463108	16463270	-	stmg_minus_chr5.4.1	stmg_minus_chr5.4
chr5	16463482	16463742	-	stmg_minus_chr5.4.1	stmg_minus_chr5.4
chr5	16465041	16465792	-	stmg_minus_chr5.4.1	stmg_minus_chr5.4
chr5	17369227	17369389	-	stmg_minus_chr5.5.1	stmg_minus_chr5.5
chr5	17375458	17375577	-	stmg_minus_chr5.5.1	stmg_minus_chr5.5
chr5	18704441	18704494	-	stmg_minus_chr5.6.1	stmg_minus_chr5.6
chr5	18745998	18746172	-	stmg_minus_chr5.6.1	stmg_minus_chr5.6
chr5	33424028	33424146	-	stmg_minus_chr5.7.1	stmg_minus_chr5.7
chr5	33440205	33440619	-	stmg_minus_chr5.7.1	stmg_minus_chr5.7
chr5	65486444	65486652	-	stmg_minus_chr5.8.1	stmg_minus_chr5.8
chr5	65486893	65487048	-	stmg_minus_chr5.8.1	stmg_minus_chr5.8
chr5	66206313	66206653	-	stmg_minus_chr5.9.1	stmg_minus_chr5.9
chr5	66209328	66209441	-	stmg_minus_chr5.9.1	stmg_minus_chr5.9
chr5	68430438	68430577	-	stmg_minus_chr5.10.1	stmg_minus_chr5.10
chr5	68433469	68433536	-	stmg_minus_chr5.10.1	stmg_minus_chr5.10
chr5	69038518	69038576	-	stmg_minus_chr5.11.1	stmg_minus_chr5.11
chr5	69043443	69043818	-	stmg_minus_chr5.11.1	stmg_minus_chr5.11
chr5	70094659	70095023	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70098685	70098849	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70100716	70100802	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70101462	70101614	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70104417	70104584	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70108308	70110419	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70111278	70111335	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70112326	70112407	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70123294	70123393	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70126284	70126403	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70126678	70126729	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70128353	70128434	-	stmg_minus_chr5.12.1	stmg_minus_chr5.12
chr5	70197255	70197390	-	stmg_minus_chr5.13.1	stmg_minus_chr5.13
chr5	70201868	70202042	-	stmg_minus_chr5.13.1	stmg_minus_chr5.13
chr5	70203881	70203965	-	stmg_minus_chr5.13.1	stmg_minus_chr5.13
chr5	70207558	70207745	-	stmg_minus_chr5.13.1	stmg_minus_chr5.13
chr5	70219918	70220092	-	stmg_minus_chr5.14.1	stmg_minus_chr5.14
chr5	70221931	70222015	-	stmg_minus_chr5.14.1	stmg_minus_chr5.14
chr5	70225608	70225795	-	stmg_minus_chr5.14.1	stmg_minus_chr5.14
chr5	70258882	70258930	-	stmg_minus_chr5.14.1	stmg_minus_chr5.14
chr5	70497038	70497121	-	stmg_minus_chr5.15.1	stmg_minus_chr5.15
chr5	70500717	70500903	-	stmg_minus_chr5.15.1	stmg_minus_chr5.15
chr5	70516387	70516482	-	stmg_minus_chr5.16.1	stmg_minus_chr5.16
chr5	70518321	70518405	-	stmg_minus_chr5.16.1	stmg_minus_chr5.16
chr5	70522001	70522188	-	stmg_minus_chr5.16.1	stmg_minus_chr5.16
chr5	70555218	70555266	-	stmg_minus_chr5.16.1	stmg_minus_chr5.16
chr5	71074225	71074326	-	stmg_minus_chr5.17.1	stmg_minus_chr5.17
chr5	71076311	71076352	-	stmg_minus_chr5.17.1	stmg_minus_chr5.17
chr5	71079797	71079968	-	stmg_minus_chr5.17.1	stmg_minus_chr5.17
chr5	71082777	71082992	-	stmg_minus_chr5.17.1	stmg_minus_chr5.17
chr5	71093047	71093193	-	stmg_minus_chr5.17.1	stmg_minus_chr5.17
chr5	71197646	71197781	-	stmg_minus_chr5.18.1	stmg_minus_chr5.18
chr5	71202253	71202427	-	stmg_minus_chr5.18.1	stmg_minus_chr5.18
chr5	71204266	71204350	-	stmg_minus_chr5.18.1	stmg_minus_chr5.18
chr5	71207943	71208130	-	stmg_minus_chr5.18.1	stmg_minus_chr5.18
chr5	71220356	71220456	-	stmg_minus_chr5.19.1	stmg_minus_chr5.19
chr5	71222295	71222379	-	stmg_minus_chr5.19.1	stmg_minus_chr5.19
chr5	71225967	71226154	-	stmg_minus_chr5.19.1	stmg_minus_chr5.19
chr5	71259190	71259238	-	stmg_minus_chr5.19.1	stmg_minus_chr5.19
chr5	80608626	80608945	-	stmg_minus_chr5.20.1	stmg_minus_chr5.20
chr5	80622408	80622519	-	stmg_minus_chr5.20.1	stmg_minus_chr5.20
chr5	82850883	82851166	-	stmg_minus_chr5.21.1	stmg_minus_chr5.21
chr5	82852011	82852098	-	stmg_minus_chr5.21.1	stmg_minus_chr5.21
chr5	82854765	82854850	-	stmg_minus_chr5.21.1	stmg_minus_chr5.21
chr5	82919466	82919962	-	stmg_minus_chr5.22.1	stmg_minus_chr5.22
chr5	82920962	82921089	-	stmg_minus_chr5.22.1	stmg_minus_chr5.22
chr5	102233986	102237018	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102239251	102239388	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102240718	102240782	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102247252	102247442	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102249638	102249788	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102257115	102257310	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102257943	102258087	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102260213	102260319	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102261912	102262033	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102263684	102263780	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102270624	102270806	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102291343	102291606	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	102295908	102296494	-	stmg_minus_chr5.23.1	stmg_minus_chr5.23
chr5	115520908	115525617	-	stmg_minus_chr5.24.1	stmg_minus_chr5.24
chr5	115542950	115543683	-	stmg_minus_chr5.24.1	stmg_minus_chr5.24
chr5	115544523	115544843	-	stmg_minus_chr5.24.1	stmg_minus_chr5.24
chr5	132179323	132179447	-	stmg_minus_chr5.25.1	stmg_minus_chr5.25
chr5	132180962	132181107	-	stmg_minus_chr5.25.1	stmg_minus_chr5.25
chr5	145338095	145338377	-	stmg_minus_chr5.26.1	stmg_minus_chr5.26
chr5	145381587	145381626	-	stmg_minus_chr5.26.1	stmg_minus_chr5.26
chr5	151158106	151158318	-	stmg_minus_chr5.27.1	stmg_minus_chr5.27
chr5	151158428	151158462	-	stmg_minus_chr5.27.1	stmg_minus_chr5.27
chr5	154474972	154475910	-	stmg_minus_chr5.28.1	stmg_minus_chr5.28
chr5	154477466	154478243	-	stmg_minus_chr5.28.1	stmg_minus_chr5.28
chr5	162558689	162559057	-	stmg_minus_chr5.29.1	stmg_minus_chr5.29
chr5	162561785	162561944	-	stmg_minus_chr5.29.1	stmg_minus_chr5.29
chr5	162591610	162591685	-	stmg_minus_chr5.29.1	stmg_minus_chr5.29
chr5	162623335	162623445	-	stmg_minus_chr5.29.1	stmg_minus_chr5.29
chr5	170308830	170310605	-	stmg_minus_chr5.30.1	stmg_minus_chr5.30
chr5	175440040	175443582	-	stmg_minus_chr5.31.1	stmg_minus_chr5.31
chr5	175443699	175444174	-	stmg_minus_chr5.31.1	stmg_minus_chr5.31
chr6	711541	711600	+	stmg_plus_chr6.1.1	stmg_plus_chr6.1
chr6	713714	713885	+	stmg_plus_chr6.1.1	stmg_plus_chr6.1
chr6	7726800	7727619	+	stmg_plus_chr6.2.1	stmg_plus_chr6.2
chr6	7845140	7845332	+	stmg_plus_chr6.2.1	stmg_plus_chr6.2
chr6	7861451	7861599	+	stmg_plus_chr6.2.1	stmg_plus_chr6.2
chr6	7862301	7862498	+	stmg_plus_chr6.2.1	stmg_plus_chr6.2
chr6	7879074	7879150	+	stmg_plus_chr6.2.1	stmg_plus_chr6.2
chr6	7879991	7880101	+	stmg_plus_chr6.2.1	stmg_plus_chr6.2
chr6	7880194	7881422	+	stmg_plus_chr6.2.1	stmg_plus_chr6.2
chr6	8784179	8784337	+	stmg_plus_chr6.3.1	stmg_plus_chr6.3
chr6	8785117	8785445	+	stmg_plus_chr6.3.1	stmg_plus_chr6.3
chr6	11538279	11538374	+	stmg_plus_chr6.4.1	stmg_plus_chr6.4
chr6	11565666	11565836	+	stmg_plus_chr6.4.1	stmg_plus_chr6.4
chr6	11575431	11583524	+	stmg_plus_chr6.4.1	stmg_plus_chr6.4
chr6	11810607	11810749	+	stmg_plus_chr6.5.1	stmg_plus_chr6.5
chr6	11810843	11811230	+	stmg_plus_chr6.5.1	stmg_plus_chr6.5
chr6	12290366	12290693	+	stmg_plus_chr6.6.1	stmg_plus_chr6.6
chr6	12292341	12292509	+	stmg_plus_chr6.6.1	stmg_plus_chr6.6
chr6	12293941	12294096	+	stmg_plus_chr6.6.1	stmg_plus_chr6.6
chr6	12294261	12294404	+	stmg_plus_chr6.6.1	stmg_plus_chr6.6
chr6	12295962	12297194	+	stmg_plus_chr6.6.1	stmg_plus_chr6.6
chr6	14006590	14006886	+	stmg_plus_chr6.7.1	stmg_plus_chr6.7
chr6	17600355	17601121	+	stmg_plus_chr6.8.1	stmg_plus_chr6.8
chr6	17602590	17602710	+	stmg_plus_chr6.8.1	stmg_plus_chr6.8
chr6	17604906	17605029	+	stmg_plus_chr6.8.1	stmg_plus_chr6.8
chr6	17605874	17606013	+	stmg_plus_chr6.8.1	stmg_plus_chr6.8
chr6	17608195	17611719	+	stmg_plus_chr6.8.1	stmg_plus_chr6.8
chr6	26596952	26597223	+	stmg_plus_chr6.9.1	stmg_plus_chr6.9
chr6	26597914	26598110	+	stmg_plus_chr6.9.1	stmg_plus_chr6.9
chr6	26598265	26600744	+	stmg_plus_chr6.9.1	stmg_plus_chr6.9
chr6	28896538	28896730	+	stmg_plus_chr6.10.1	stmg_plus_chr6.10
chr6	28897111	28897322	+	stmg_plus_chr6.10.1	stmg_plus_chr6.10
chr6	28943878	28944026	+	stmg_plus_chr6.11.1	stmg_plus_chr6.11
chr6	28944222	28944537	+	stmg_plus_chr6.11.1	stmg_plus_chr6.11
chr6	30516267	30516611	+	stmg_plus_chr6.12.1	stmg_plus_chr6.12
chr6	30518713	30519208	+	stmg_plus_chr6.12.1	stmg_plus_chr6.12
chr6	31575567	31575927	+	stmg_plus_chr6.13.1	stmg_plus_chr6.13
chr6	31576534	31576579	+	stmg_plus_chr6.13.1	stmg_plus_chr6.13
chr6	31576767	31576814	+	stmg_plus_chr6.13.1	stmg_plus_chr6.13
chr6	31577116	31578336	+	stmg_plus_chr6.13.1	stmg_plus_chr6.13
chr6	32013270	32013286	+	stmg_plus_chr6.14.1	stmg_plus_chr6.14
chr6	32013392	32013539	+	stmg_plus_chr6.14.1	stmg_plus_chr6.14
chr6	32013742	32013783	+	stmg_plus_chr6.14.1	stmg_plus_chr6.14
chr6	35452361	35452793	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35455747	35456353	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35457556	35457600	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35457916	35457984	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35458297	35458440	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35459331	35459454	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35459682	35459760	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35460552	35460618	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35462789	35462914	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	35466244	35467103	+	stmg_plus_chr6.15.1	stmg_plus_chr6.15
chr6	43171299	43172169	+	stmg_plus_chr6.16.1	stmg_plus_chr6.16
chr6	43173847	43174113	+	stmg_plus_chr6.16.1	stmg_plus_chr6.16
chr6	43175706	43175967	+	stmg_plus_chr6.16.1	stmg_plus_chr6.16
chr6	43176548	43176667	+	stmg_plus_chr6.16.1	stmg_plus_chr6.16
chr6	43178294	43178485	+	stmg_plus_chr6.16.1	stmg_plus_chr6.16
chr6	43178806	43178882	+	stmg_plus_chr6.16.1	stmg_plus_chr6.16
chr6	43179095	43181507	+	stmg_plus_chr6.16.1	stmg_plus_chr6.16
chr6	46129996	46130189	+	stmg_plus_chr6.17.1	stmg_plus_chr6.17
chr6	46139551	46140409	+	stmg_plus_chr6.17.1	stmg_plus_chr6.17
chr6	46141052	46141222	+	stmg_plus_chr6.17.1	stmg_plus_chr6.17
chr6	46143276	46146699	+	stmg_plus_chr6.17.1	stmg_plus_chr6.17
chr6	49463378	49463453	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49470159	49470278	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49470974	49471028	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49472063	49472183	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49472790	49472858	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49480951	49481080	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49488352	49488471	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49488607	49488684	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	49492144	49493107	+	stmg_plus_chr6.18.1	stmg_plus_chr6.18
chr6	50093715	50093831	+	stmg_plus_chr6.19.1	stmg_plus_chr6.19
chr6	50098712	50099276	+	stmg_plus_chr6.19.1	stmg_plus_chr6.19
chr6	52671109	52671245	+	stmg_plus_chr6.20.1	stmg_plus_chr6.20
chr6	52677087	52677172	+	stmg_plus_chr6.20.1	stmg_plus_chr6.20
chr6	52681813	52681914	+	stmg_plus_chr6.20.1	stmg_plus_chr6.20
chr6	52684078	52684165	+	stmg_plus_chr6.20.1	stmg_plus_chr6.20
chr6	52686010	52686588	+	stmg_plus_chr6.20.1	stmg_plus_chr6.20
chr6	53628393	53628446	+	stmg_plus_chr6.21.1	stmg_plus_chr6.21
chr6	53628575	53628691	+	stmg_plus_chr6.21.1	stmg_plus_chr6.21
chr6	53631013	53631394	+	stmg_plus_chr6.21.1	stmg_plus_chr6.21
chr6	54846771	54846826	+	stmg_plus_chr6.22.1	stmg_plus_chr6.22
chr6	54870187	54870690	+	stmg_plus_chr6.22.1	stmg_plus_chr6.22
chr6	54926371	54926535	+	stmg_plus_chr6.22.1	stmg_plus_chr6.22
chr6	54927508	54927632	+	stmg_plus_chr6.22.1	stmg_plus_chr6.22
chr6	54939706	54942022	+	stmg_plus_chr6.22.1	stmg_plus_chr6.22
chr6	68055417	68055435	+	stmg_plus_chr6.23.1	stmg_plus_chr6.23
chr6	68060096	68060406	+	stmg_plus_chr6.23.1	stmg_plus_chr6.23
chr6	70394887	70395043	+	stmg_plus_chr6.24.1	stmg_plus_chr6.24
chr6	70395230	70395266	+	stmg_plus_chr6.24.1	stmg_plus_chr6.24
chr6	70399215	70399417	+	stmg_plus_chr6.24.1	stmg_plus_chr6.24
chr6	79420583	79420637	+	stmg_plus_chr6.25.1	stmg_plus_chr6.25
chr6	79421038	79421302	+	stmg_plus_chr6.25.1	stmg_plus_chr6.25
chr6	79631283	79631506	+	stmg_plus_chr6.26.1	stmg_plus_chr6.26
chr6	79673614	79673799	+	stmg_plus_chr6.26.1	stmg_plus_chr6.26
chr6	79696485	79696565	+	stmg_plus_chr6.26.1	stmg_plus_chr6.26
chr6	79699498	79703659	+	stmg_plus_chr6.26.1	stmg_plus_chr6.26
chr6	83512543	83512694	+	stmg_plus_chr6.27.1	stmg_plus_chr6.27
chr6	83523422	83525698	+	stmg_plus_chr6.27.1	stmg_plus_chr6.27
chr6	84033756	84033883	+	stmg_plus_chr6.28.1	stmg_plus_chr6.28
chr6	84055312	84055445	+	stmg_plus_chr6.28.1	stmg_plus_chr6.28
chr6	84062893	84062992	+	stmg_plus_chr6.28.1	stmg_plus_chr6.28
chr6	84089091	84090881	+	stmg_plus_chr6.28.1	stmg_plus_chr6.28
chr6	89146051	89146609	+	stmg_plus_chr6.29.1	stmg_plus_chr6.29
chr6	89149265	89149413	+	stmg_plus_chr6.29.1	stmg_plus_chr6.29
chr6	89153043	89153185	+	stmg_plus_chr6.29.1	stmg_plus_chr6.29
chr6	89154748	89154902	+	stmg_plus_chr6.29.1	stmg_plus_chr6.29
chr6	89158325	89158460	+	stmg_plus_chr6.29.1	stmg_plus_chr6.29
chr6	89161783	89161890	+	stmg_plus_chr6.29.1	stmg_plus_chr6.29
chr6	89162109	89165565	+	stmg_plus_chr6.29.1	stmg_plus_chr6.29
chr6	109826535	109826696	+	stmg_plus_chr6.30.1	stmg_plus_chr6.30
chr6	109828496	109828756	+	stmg_plus_chr6.30.1	stmg_plus_chr6.30
chr6	111259348	111259727	+	stmg_plus_chr6.31.1	stmg_plus_chr6.31
chr6	111262257	111262425	+	stmg_plus_chr6.31.1	stmg_plus_chr6.31
chr6	111263830	111263946	+	stmg_plus_chr6.31.1	stmg_plus_chr6.31
chr6	111265876	111271167	+	stmg_plus_chr6.31.1	stmg_plus_chr6.31
chr6	111277932	111278158	+	stmg_plus_chr6.32.1	stmg_plus_chr6.32
chr6	111278413	111278742	+	stmg_plus_chr6.32.1	stmg_plus_chr6.32
chr6	113531120	113531258	+	stmg_plus_chr6.33.1	stmg_plus_chr6.33
chr6	113541837	113541901	+	stmg_plus_chr6.33.1	stmg_plus_chr6.33
chr6	113543403	113543789	+	stmg_plus_chr6.33.1	stmg_plus_chr6.33
chr6	113904220	113904744	+	stmg_plus_chr6.34.1	stmg_plus_chr6.34
chr6	113916943	113917052	+	stmg_plus_chr6.34.1	stmg_plus_chr6.34
chr6	113919107	113919457	+	stmg_plus_chr6.34.1	stmg_plus_chr6.34
chr6	113920456	113921639	+	stmg_plus_chr6.34.1	stmg_plus_chr6.34
chr6	117675503	117676085	+	stmg_plus_chr6.35.1	stmg_plus_chr6.35
chr6	117693042	117693167	+	stmg_plus_chr6.35.1	stmg_plus_chr6.35
chr6	117694031	117694180	+	stmg_plus_chr6.35.1	stmg_plus_chr6.35
chr6	117703605	117703704	+	stmg_plus_chr6.35.1	stmg_plus_chr6.35
chr6	117706925	117710640	+	stmg_plus_chr6.35.1	stmg_plus_chr6.35
chr6	121435692	121435832	+	stmg_plus_chr6.36.1	stmg_plus_chr6.36
chr6	121446832	121449727	+	stmg_plus_chr6.36.1	stmg_plus_chr6.36
chr6	130827407	130827651	+	stmg_plus_chr6.37.1	stmg_plus_chr6.37
chr6	130834870	130837135	+	stmg_plus_chr6.37.1	stmg_plus_chr6.37
chr6	144150526	144150703	+	stmg_plus_chr6.38.1	stmg_plus_chr6.38
chr6	144186623	144188370	+	stmg_plus_chr6.38.1	stmg_plus_chr6.38
chr6	146543694	146544121	+	stmg_plus_chr6.39.1	stmg_plus_chr6.39
chr6	146549464	146549741	+	stmg_plus_chr6.39.1	stmg_plus_chr6.39
chr6	146554456	146554965	+	stmg_plus_chr6.39.1	stmg_plus_chr6.39
chr6	149942000	149942157	+	stmg_plus_chr6.40.1	stmg_plus_chr6.40
chr6	149945309	149945572	+	stmg_plus_chr6.40.1	stmg_plus_chr6.40
chr6	149946372	149946653	+	stmg_plus_chr6.40.1	stmg_plus_chr6.40
chr6	149947320	149947451	+	stmg_plus_chr6.40.1	stmg_plus_chr6.40
chr6	149948723	149949235	+	stmg_plus_chr6.40.1	stmg_plus_chr6.40
chr6	149964007	149964134	+	stmg_plus_chr6.41.1	stmg_plus_chr6.41
chr6	149968607	149968870	+	stmg_plus_chr6.41.1	stmg_plus_chr6.41
chr6	149969085	149969360	+	stmg_plus_chr6.41.1	stmg_plus_chr6.41
chr6	149970016	149970147	+	stmg_plus_chr6.41.1	stmg_plus_chr6.41
chr6	149971369	149973710	+	stmg_plus_chr6.41.1	stmg_plus_chr6.41
chr6	158168352	158168395	+	stmg_plus_chr6.42.1	stmg_plus_chr6.42
chr6	158170470	158170538	+	stmg_plus_chr6.42.1	stmg_plus_chr6.42
chr6	158191977	158199344	+	stmg_plus_chr6.42.1	stmg_plus_chr6.42
chr6	159107808	159108153	+	stmg_plus_chr6.43.1	stmg_plus_chr6.43
chr6	159109315	159109439	+	stmg_plus_chr6.43.1	stmg_plus_chr6.43
chr6	159115432	159115508	+	stmg_plus_chr6.43.1	stmg_plus_chr6.43
chr6	159115774	159116052	+	stmg_plus_chr6.43.1	stmg_plus_chr6.43
chr6	160348280	160348848	+	stmg_plus_chr6.44.1	stmg_plus_chr6.44
